s,x_0,x_1,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag,stable
4.777963,0.0007748762,-0.0011895858,-4.665664,0.0038065654,0.0006480237,0.039775174,1.0,1.0,,0,1
4.7929883,0.0007747477,-0.0012310147,-4.681076,0.0038304518,0.0006786569,0.039441135,1.0,1.0,,0,1
4.8080134,0.0007746862,-0.0012723152,-4.696497,0.0038549274,0.00070971175,0.039103165,1.0,1.0,,0,1
4.823038,0.00077416934,-0.0013131164,-4.7119274,0.003877539,0.00074116915,0.03876137,1.0,1.0,,0,1
4.8380632,0.0007732706,-0.0013538357,-4.7273655,0.0038987387,0.0007730236,0.038415574,1.0,1.0,,0,1
4.8530884,0.00077219587,-0.0013937913,-4.742812,0.00391919,0.0008052776,0.03806602,1.0,1.0,,0,1
4.8681135,0.0007710587,-0.0014337394,-4.758268,0.003939648,0.00083785265,0.03771261,1.0,1.0,,0,1
4.8831387,0.00076974276,-0.0014730897,-4.773733,0.0039593736,0.00087077805,0.037355572,1.0,1.0,,0,1
4.8981633,0.00076792855,-0.0015122872,-4.789204,0.003977099,0.0009039867,0.03699501,1.0,1.0,,0,1
4.9131885,0.00076604076,-0.0015506744,-4.804686,0.0039944486,0.00093750283,0.03663079,1.0,1.0,,0,1
4.9282136,0.0007638056,-0.0015889574,-4.820174,0.004010464,0.0009712723,0.03626311,1.0,1.0,,0,1
4.9432387,0.0007613441,-0.0016268771,-4.8356724,0.0040255752,0.0010052916,0.035891976,1.0,1.0,,0,1
4.958264,0.0007587839,-0.0016644523,-4.851178,0.0040403428,0.0010395274,0.03551745,1.0,1.0,,0,1
4.9732885,0.0007557571,-0.0017012861,-4.86669,0.0040529645,0.0010739692,0.035139617,1.0,1.0,,0,1
4.9883137,0.00075251237,-0.0017378032,-4.882212,0.0040647076,0.0011085991,0.034758523,1.0,1.0,,0,1
5.003339,0.00074940454,-0.0017738864,-4.897742,0.0040770774,0.0011433754,0.034374155,1.0,1.0,,0,1
5.018364,0.000745723,-0.0018094834,-4.9132776,0.004086905,0.0011782877,0.03398662,1.0,1.0,,0,1
5.033389,0.0007418692,-0.0018446464,-4.928822,0.0040959786,0.0012133014,0.03359601,1.0,1.0,,0,1
5.0484138,0.0007379046,-0.0018795114,-4.944374,0.0041046212,0.0012484404,0.033202466,1.0,1.0,,0,1
5.063439,0.00073345564,-0.0019137096,-4.959934,0.0041110166,0.001283628,0.032805685,0.99999994,1.0,,0,1
5.078464,0.0007291138,-0.0019475091,-4.9755015,0.0041178763,0.0013188978,0.032406114,0.9999999,1.0,,0,1
5.093489,0.00072434545,-0.001980774,-4.9910755,0.0041227886,0.001354163,0.03200364,0.99999994,1.0,,0,1
5.1085143,0.0007194141,-0.0020139255,-5.0066576,0.004127108,0.0013894491,0.031598277,1.0,1.0,,0,1
5.123539,0.00071453303,-0.0020459164,-5.0222454,0.0041312473,0.001424748,0.031190015,1.0,1.0,,0,1
5.138564,0.0007090131,-0.0020779427,-5.0378413,0.0041327802,0.0014599612,0.030779157,1.0,1.0,,0,1
5.1535892,0.00070340466,-0.0021091998,-5.0534434,0.004133707,0.001495171,0.030365465,1.0,1.0,,0,1
5.1686144,0.0006975848,-0.0021398813,-5.0690527,0.004133581,0.0015302965,0.02994908,0.99999994,1.0,,0,1
5.1836395,0.0006917026,-0.0021700598,-5.08467,0.004133083,0.0015653207,0.029530158,0.99999994,1.0,,0,1
5.198664,0.00068547763,-0.002199877,-5.1002927,0.004131067,0.0016002735,0.029108597,1.0,1.0,,0,1
5.2136893,0.00067892857,-0.0022291746,-5.115921,0.0041275355,0.0016350435,0.028684497,1.0,1.0,,0,1
5.2287145,0.0006726403,-0.002258109,-5.1315584,0.0041250894,0.0016696611,0.028258003,0.99999994,1.0,,0,1
5.2437396,0.00066591054,-0.0022860356,-5.1471996,0.004120348,0.0017041492,0.027828906,0.99999994,1.0,,0,1
5.2587647,0.0006588567,-0.0023136884,-5.1628485,0.0041142236,0.0017384132,0.027397523,0.9999998,1.0,,0,1
5.2737894,0.00065184943,-0.002340639,-5.178502,0.00410806,0.0017724662,0.026963703,0.9999998,1.0,,0,1
5.2888145,0.00064454693,-0.0023671463,-5.194163,0.004100546,0.0018063022,0.026527569,1.0,1.0,,0,1
5.3038397,0.0006370088,-0.0023929328,-5.2098293,0.004091777,0.0018398855,0.026089236,1.0,1.0,,0,1
5.318865,0.00062914565,-0.0024187025,-5.2255025,0.004081795,0.0018731898,0.025648644,1.0,1.0,,0,1
5.33389,0.000621303,-0.002443349,-5.241181,0.004071407,0.0019062307,0.025205778,1.0,1.0,,0,1
5.3489146,0.00061319675,-0.0024676323,-5.256863,0.004059868,0.0019389516,0.024760796,1.0,1.0,,0,1
5.36394,0.00060511474,-0.0024913903,-5.2725534,0.0040482897,0.0019713684,0.024313688,1.0,1.0,,0,1
5.378965,0.0005967403,-0.0025145635,-5.2882485,0.0040353173,0.0020034353,0.023864448,1.0,1.0,,0,1
5.39399,0.0005881749,-0.0025367066,-5.3039494,0.004021101,0.002035126,0.023413252,1.0,1.0,,0,1
5.409015,0.00057936925,-0.0025588889,-5.3196545,0.0040061176,0.0020664802,0.022959946,1.0,1.0,,0,1
