s,x_0,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag
1.9131887,-1.090977,1.4564229,0.29040956,0.0023053542,0.17460078,0.99999833,2.1142693,,0
1.9232054,-1.0960821,1.4644748,0.28835595,0.002317711,0.17565,0.9999983,2.1397133,,0
1.933222,-1.1011717,1.472537,0.28625822,0.0023290883,0.17667887,0.9999982,2.1652002,,0
1.9432387,-1.1062456,1.4806073,0.28411472,0.0023395189,0.17768699,0.9999983,2.190731,,0
1.9532554,-1.1113044,1.4886863,0.28192544,0.00234895,0.17867452,0.9999982,2.2163062,,0
1.9632721,-1.1163472,1.4967731,0.27969193,0.0023573292,0.17964114,0.9999982,2.24192,,0
1.9732889,-1.1213746,1.5048689,0.27741444,0.00236461,0.180587,0.9999982,2.2675738,,0
1.9833056,-1.1263862,1.5129743,0.27509558,0.0023709794,0.18151219,0.9999982,2.293263,,0
1.9933223,-1.1313815,1.5210885,0.27273571,0.0023761715,0.18241632,0.9999982,2.318984,,0
2.0033388,-1.1363611,1.5292107,0.27033365,0.0023803574,0.18329984,0.99999815,2.3447394,,0
2.0133557,-1.1413254,1.5373453,0.2678939,0.0023834524,0.18416217,0.9999981,2.3705254,,0
2.0233724,-1.1462733,1.5454862,0.26541245,0.0023854666,0.18500389,0.9999981,2.396341,,0
2.033389,-1.1512053,1.553638,0.26289427,0.0023863981,0.1858245,0.99999815,2.422183,,0
2.0434058,-1.1561215,1.5617993,0.2603382,0.002386113,0.18662412,0.99999815,2.4480512,,0
2.0534225,-1.1610212,1.5699706,0.25774705,0.0023847097,0.18740286,0.9999981,2.4739404,,0
2.0634391,-1.1659055,1.5781502,0.25511718,0.0023822654,0.18816055,0.99999803,2.4998565,,0
2.0734558,-1.1707735,1.5863402,0.25245345,0.0023786593,0.18889725,0.9999981,2.525792,,0
2.0834725,-1.175625,1.5945414,0.24975848,0.0023738826,0.18961304,0.9999981,2.5517406,,0
2.0934892,-1.1804609,1.6027516,0.2470274,0.0023681475,0.19030797,0.999998,2.5777125,,0
2.1035058,-1.1852806,1.610973,0.24426603,0.002361174,0.19098179,0.999998,2.6036973,,0
2.1135225,-1.1900839,1.619204,0.24147332,0.0023530482,0.1916348,0.999998,2.6296945,,0
2.1235392,-1.1948713,1.6274452,0.23864901,0.002343805,0.19226678,0.9999979,2.6557074,,0
2.133556,-1.1996423,1.6356995,0.23579907,0.0023335377,0.19287786,0.999998,2.6817253,,0
2.1435726,-1.2043979,1.6439605,0.23291385,0.0023220978,0.19346808,0.999998,2.7077627,,0
2.1535892,-1.2091364,1.652235,0.23000705,0.0023096718,0.19403754,0.9999979,2.733797,,0
2.1636062,-1.2138594,1.6605191,0.22706997,0.0022959884,0.19458613,0.9999979,2.7598453,,0
2.1736228,-1.2185655,1.668814,0.22410905,0.002281343,0.19511397,0.999998,2.7858913,,0
2.1836395,-1.2232562,1.6771209,0.22112215,0.0022655416,0.19562091,0.9999979,2.8119462,,0
2.1936562,-1.2279298,1.6854389,0.21811366,0.0022487831,0.19610746,0.99999785,2.8379962,,0
2.203673,-1.232588,1.6937671,0.21507895,0.002230983,0.1965732,0.99999785,2.8640528,,0
2.2136896,-1.2372298,1.7021062,0.21202242,0.0022120874,0.19701831,0.99999785,2.8901064,,0
2.2237062,-1.2418553,1.7104585,0.20894718,0.0021922728,0.19744301,0.99999785,2.916155,,0
2.233723,-1.2464645,1.7188203,0.20584929,0.0021714363,0.19784714,0.99999785,2.942201,,0
2.2437396,-1.2510574,1.7271938,0.20273292,0.0021495994,0.19823079,0.99999785,2.9682398,,0
2.2537563,-1.2556344,1.7355807,0.19959915,0.0021268884,0.19859417,0.9999979,2.994273,,0
2.263773,-1.2601954,1.7439778,0.19644618,0.002103221,0.19893718,0.99999785,3.0202992,,0
2.2737896,-1.26474,1.7523866,0.19327664,0.0020786314,0.19925997,0.99999785,3.0463152,,0
